Ticker,Rows,Start,End,Category
AAPL,9197,1990-01-02,2026-07-10,Stocks
MSFT,9197,1990-01-02,2026-07-10,Stocks
NVDA,6908,1999-01-22,2026-07-10,Stocks
GOOGL,5507,2004-08-19,2026-07-10,Stocks
AMZN,7333,1997-05-15,2026-07-10,Stocks
META,3555,2012-05-18,2026-07-10,Stocks
TSLA,4032,2010-06-29,2026-07-10,Stocks
AMD,9197,1990-01-02,2026-07-10,Stocks
^GSPC,9197,1990-01-02,2026-07-10,Indices
^IXIC,9197,1990-01-02,2026-07-10,Indices
^DJI,8691,1992-01-02,2026-07-10,Indices
^RUT,9197,1990-01-02,2026-07-10,Indices
^VIX,9198,1990-01-02,2026-07-10,Indices
SPY,8418,1993-01-29,2026-07-10,ETFs
QQQ,6876,1999-03-10,2026-07-10,ETFs
XLK,6928,1998-12-22,2026-07-10,ETFs
VGT,5646,2004-01-30,2026-07-10,ETFs
SOXX,6284,2001-07-13,2026-07-10,ETFs
GC=F,6488,2000-08-30,2026-07-10,Commodities
SI=F,6490,2000-08-30,2026-07-10,Commodities
CL=F,6497,2000-08-23,2026-07-10,Commodities
NG=F,6494,2000-08-30,2026-07-10,Commodities
EURUSD=X,5866,2003-12-01,2026-07-10,Forex
GBPUSD=X,5878,2003-12-01,2026-07-10,Forex
JPY=X,7700,1996-10-30,2026-07-10,Forex
USDCNY=X,6268,2001-06-25,2026-07-10,Forex
